Date,Open,High,Low,Close,Adj Close,Volume
2012-06-29,6296.740234,6416.279785,6261.740234,6416.279785,6416.279785,39749700
2012-07-02,6405.390137,6520.399902,6390.549805,6496.080078,6496.080078,29097100
2012-07-03,6508.330078,6578.209961,6505.390137,6578.209961,6578.209961,28768600
2012-07-04,6564.299805,6573.859863,6525.509766,6564.799805,6564.799805,20045900
2012-07-05,6561.770020,6641.859863,6475.919922,6535.560059,6535.560059,36858200
2012-07-06,6508.220215,6533.790039,6407.839844,6410.109863,6410.109863,27674400
2012-07-09,6408.640137,6420.779785,6375.689941,6387.569824,6387.569824,23483900
2012-07-10,6397.459961,6491.399902,6349.620117,6438.330078,6438.330078,27864900
2012-07-11,6413.169922,6496.529785,6399.399902,6453.850098,6453.850098,23031900
2012-07-12,6410.939941,6448.220215,6366.770020,6419.350098,6419.350098,33641700
2012-07-13,6446.220215,6557.100098,6436.089844,6557.100098,6557.100098,28655600
2012-07-16,6550.950195,6577.060059,6511.180176,6565.720215,6565.720215,20388100
2012-07-17,6583.770020,6610.810059,6542.890137,6577.640137,6577.640137,22448800
2012-07-18,6601.709961,6690.660156,6578.859863,6684.419922,6684.419922,24546900
2012-07-19,6706.990234,6773.500000,6698.870117,6758.390137,6758.390137,33451400
2012-07-20,6741.899902,6775.740234,6620.720215,6630.020020,6630.020020,44337500
2012-07-23,6561.870117,6572.109863,6371.149902,6419.330078,6419.330078,33956800
2012-07-24,6420.819824,6456.000000,6378.000000,6390.410156,6390.410156,26391400
2012-07-25,6387.839844,6475.330078,6375.149902,6406.520020,6406.520020,26023500
2012-07-26,6393.200195,6595.580078,6324.529785,6582.959961,6582.959961,44942200
2012-07-27,6605.419922,6690.430176,6513.970215,6689.399902,6689.399902,29769600
2012-07-30,6729.189941,6796.609863,6703.259766,6774.060059,6774.060059,28093500
2012-07-31,6780.620117,6835.189941,6756.180176,6772.259766,6772.259766,29189800
2012-08-01,6775.990234,6800.100098,6735.890137,6754.459961,6754.459961,23663400
2012-08-02,6756.160156,6855.709961,6596.209961,6606.089844,6606.089844,44863600
2012-08-03,6626.299805,6876.740234,6621.359863,6865.660156,6865.660156,38691500
2012-08-06,6845.879883,6943.319824,6845.879883,6918.720215,6918.720215,26947400
2012-08-07,6909.279785,6979.629883,6902.859863,6967.950195,6967.950195,30006900
2012-08-08,6944.890137,6966.149902,6907.290039,6966.149902,6966.149902,23986600
2012-08-09,6979.410156,6989.149902,6891.490234,6964.990234,6964.990234,27897800
2012-08-10,6927.709961,6955.379883,6891.899902,6944.560059,6944.560059,21472200
2012-08-13,6935.509766,6976.310059,6882.029785,6909.680176,6909.680176,19034100
2012-08-14,6965.040039,6995.029785,6939.500000,6974.390137,6974.390137,18671000
2012-08-15,6953.009766,6972.640137,6910.390137,6946.799805,6946.799805,16927300
2012-08-16,6958.390137,7001.399902,6929.430176,6996.290039,6996.290039,24262600
2012-08-17,7011.370117,7041.109863,7000.850098,7040.879883,7040.879883,31597300
2012-08-20,7037.020020,7086.220215,7008.970215,7033.680176,7033.680176,21036200
2012-08-21,7048.790039,7105.430176,7041.729980,7089.319824,7089.319824,20980100
2012-08-22,7048.299805,7051.770020,7005.259766,7017.750000,7017.750000,22101100
2012-08-23,7065.990234,7080.740234,6923.069824,6949.569824,6949.569824,27346700
2012-08-24,6957.600098,6990.069824,6885.979980,6971.069824,6971.069824,21145300
2012-08-27,6960.020020,7049.479980,6946.080078,7047.450195,7047.450195,14170000
2012-08-28,7004.049805,7031.160156,6976.009766,7002.680176,7002.680176,17055700
