Date,Open,High,Low,Close,Adj Close,Volume
2012-06-29,4085.600098,4155.200195,4073.800049,4135.500000,4135.500000,1329878300
2012-07-02,4135.500000,4189.899902,4135.500000,4172.500000,4172.500000,892610800
2012-07-03,4172.500000,4180.100098,4159.500000,4166.399902,4166.399902,676242000
2012-07-04,4166.399902,4213.899902,4166.399902,4213.799805,4213.799805,836677200
2012-07-05,4213.799805,4215.799805,4199.500000,4209.899902,4209.899902,709239000
2012-07-06,4209.899902,4210.200195,4187.200195,4199.000000,4199.000000,627998800
2012-07-09,4199.000000,4199.000000,4154.000000,4159.799805,4159.799805,577840800
2012-07-10,4159.799805,4176.799805,4130.200195,4137.899902,4137.899902,786653400
2012-07-11,4137.899902,4140.600098,4116.399902,4135.000000,4135.000000,805199600
2012-07-12,4135.000000,4146.200195,4101.399902,4106.000000,4106.000000,777071000
2012-07-13,4106.000000,4138.399902,4100.000000,4118.299805,4118.299805,751439800
2012-07-16,4118.299805,4162.200195,4118.299805,4143.200195,4143.200195,661124400
2012-07-17,4143.200195,4187.600098,4140.899902,4175.299805,4175.299805,758344000
2012-07-18,4175.299805,4177.299805,4154.100098,4156.399902,4156.399902,723710800
2012-07-19,4156.399902,4236.399902,4156.399902,4236.399902,4236.399902,1006433300
2012-07-20,4236.399902,4245.500000,4217.299805,4230.600098,4230.600098,884712200
2012-07-23,4230.600098,4230.600098,4159.200195,4159.200195,4159.200195,737466200
2012-07-24,4159.200195,4169.399902,4143.399902,4161.200195,4161.200195,757177400
2012-07-25,4161.200195,4161.200195,4114.000000,4151.399902,4151.399902,778327000
2012-07-26,4151.399902,4176.299805,4150.100098,4173.799805,4173.799805,774965400
2012-07-27,4173.799805,4234.399902,4173.799805,4234.399902,4234.399902,882553000
2012-07-30,4234.399902,4277.399902,4234.399902,4266.899902,4266.899902,714745400
2012-07-31,4266.899902,4305.600098,4266.899902,4289.399902,4289.399902,896987200
2012-08-01,4289.399902,4289.399902,4274.299805,4282.700195,4282.700195,805623200
2012-08-02,4282.700195,4300.600098,4276.799805,4290.100098,4290.100098,991731200
2012-08-03,4290.100098,4290.100098,4235.100098,4243.000000,4243.000000,810638200
2012-08-06,4243.000000,4307.799805,4243.000000,4292.899902,4292.899902,563027600
2012-08-07,4292.899902,4313.899902,4292.899902,4311.399902,4311.399902,662444000
2012-08-08,4311.399902,4342.700195,4311.399902,4332.899902,4332.899902,994273400
2012-08-09,4332.899902,4350.399902,4330.100098,4330.100098,4330.100098,853731600
2012-08-10,4330.100098,4336.100098,4302.799805,4302.799805,4302.799805,924930000
2012-08-13,4302.799805,4339.200195,4302.799805,4309.500000,4309.500000,901594800
2012-08-14,4309.500000,4326.399902,4299.700195,4317.399902,4317.399902,871929600
2012-08-15,4317.399902,4336.500000,4293.899902,4307.000000,4307.000000,929438400
2012-08-16,4307.000000,4353.500000,4307.000000,4353.500000,4353.500000,913978000
2012-08-17,4353.500000,4393.799805,4353.000000,4393.799805,4393.799805,923892800
2012-08-20,4393.799805,4401.299805,4372.799805,4391.899902,4391.899902,995418800
