Date,Open,High,Low,Close,Adj Close,Volume
2012-06-29,8811.459961,9044.040039,8803.330078,9006.780273,9006.780273,143800
2012-07-02,9103.790039,9103.790039,9003.480469,9003.480469,9003.480469,99800
2012-07-03,9013.650391,9082.389648,9012.860352,9066.589844,9066.589844,121000
2012-07-04,9119.690430,9136.019531,9095.309570,9104.169922,9104.169922,105600
2012-07-05,9078.459961,9130.540039,9069.009766,9079.799805,9079.799805,97000
2012-07-06,9052.700195,9082.040039,8977.349609,9020.750000,9020.750000,108200
2012-07-09,8922.990234,8954.440430,8892.169922,8896.879883,8896.879883,92000
2012-07-10,8922.030273,8966.990234,8855.929688,8857.730469,8857.730469,108400
2012-07-11,8819.040039,8851.000000,8797.730469,8851.000000,8851.000000,98000
2012-07-12,8859.389648,8862.799805,8709.750000,8720.009766,8720.009766,141800
2012-07-13,8701.349609,8759.059570,8695.440430,8724.120117,8724.120117,122800
2012-07-17,8740.980469,8808.870117,8711.730469,8755.000000,8755.000000,112000
2012-07-18,8796.150391,8802.089844,8715.139648,8726.740234,8726.740234,119000
2012-07-19,8795.000000,8835.799805,8771.190430,8795.549805,8795.549805,113200
2012-07-20,8785.870117,8792.190430,8662.719727,8669.870117,8669.870117,117000
2012-07-23,8582.280273,8606.230469,8500.269531,8508.320313,8508.320313,103400
2012-07-24,8497.990234,8517.519531,8446.179688,8488.089844,8488.089844,126200
2012-07-25,8410.980469,8433.580078,8328.019531,8365.900391,8365.900391,137400
2012-07-26,8408.219727,8448.549805,8358.509766,8443.099609,8443.099609,153400
2012-07-27,8547.339844,8569.089844,8522.740234,8566.639648,8566.639648,129000
2012-07-30,8658.830078,8663.299805,8589.190430,8635.440430,8635.440430,112000
2012-07-31,8600.919922,8732.839844,8585.259766,8695.059570,8695.059570,140200
2012-08-01,8622.040039,8654.610352,8578.160156,8641.849609,8641.849609,123200
2012-08-02,8642.889648,8705.910156,8635.509766,8653.179688,8653.179688,127000
2012-08-03,8539.709961,8565.059570,8513.200195,8555.110352,8555.110352,141800
2012-08-06,8683.200195,8751.799805,8676.250000,8726.290039,8726.290039,113000
2012-08-07,8714.120117,8812.419922,8711.900391,8803.309570,8803.309570,109400
2012-08-08,8889.379883,8962.950195,8851.589844,8881.160156,8881.160156,162400
2012-08-09,8870.809570,9004.809570,8862.169922,8978.599609,8978.599609,151200
2012-08-10,8931.919922,8954.849609,8857.230469,8891.440430,8891.440430,120000
2012-08-13,8871.679688,8906.209961,8867.629883,8885.150391,8885.150391,72000
2012-08-14,8913.700195,8970.990234,8897.870117,8929.879883,8929.879883,117600
